"card id","card name","issuer"
"amex-gold","Gold Credit Card","American Express"
"amex-membership-rewards","Membership Rewards Credit Card","American Express"
"amex-platinum","Platinum Credit Card","American Express"
"amex-platinum-reserve","Platinum Reserve Credit Card","American Express"
"amex-platinum-travel","Platinum Travel Credit Card","American Express"
"amex-smartearn","SmartEarn Credit Card","American Express"
"cheq-au","CheQ Credit Card","AU Small Finance Bank"
"au-ixigo","ixigo Credit Card","AU Small Finance Bank"
"axis-ace","ACE Credit Card","Axis Bank"
"axis-airtel","Airtel Credit Card","Axis Bank"
"axis-cashback","Cashback Credit Card","Axis Bank"
"axis-fibe","Fibe Credit Card","Axis Bank"
"axis-flipkart","FLIPKART Credit Card","Axis Bank"
"axis-freecharge","Freecharge Credit Card","Axis Bank"
"axis-freecharge-plus","Freecharge Plus Credit Card","Axis Bank"
"axis-google-pay-flex","Google Pay Flex Credit Card","Axis Bank"
"axis-horizon","HORIZON Credit Card","Axis Bank"
"axis-ikea-family","IKEA Family Credit Card","Axis Bank"
"axis-indianoil","INDIANOIL Credit Card","Axis Bank"
"axis-indianoil-easy","IndianOil Easy Credit Card","Axis Bank"
"axis-indianoil-premium","IndianOil Premium Credit Card","Axis Bank"
"axis-indigo","Indigo Credit Card","Axis Bank"
"axis-indigo-premium","IndiGo Premium Credit Card","Axis Bank"
"axis-kwik","Kwik Credit Card","Axis Bank"
"axis-lic-platinum","LIC Platinum Credit Card","Axis Bank"
"axis-lic-signature","LIC Signature Credit Card","Axis Bank"
"axis-magnus","MAGNUS Credit Card","Axis Bank"
"axis-magnus-burgundy","Magnus for Burgundy Credit Card","Axis Bank"
"axis-miles-and-more","Miles and More Credit Card","Axis Bank"
"axis-my-zone","My Zone Credit Card","Axis Bank"
"axis-neo","Neo Credit Card","Axis Bank"
"axis-privilege","PRIVILEGE Credit Card","Axis Bank"
"axis-privilege-easy","Privilege Easy Credit Card","Axis Bank"
"axis-reserve","Reserve Credit Card","Axis Bank"
"axis-rewards","REWARDS Credit Card","Axis Bank"
"axis-samsung-signature","Samsung Signature Credit Card","Axis Bank"
"axis-select","Select Credit Card","Axis Bank"
"bobcard-easy","EASY Credit Card","Bank of Baroda"
"bobcard-eterna","ETERNA Credit Card","Bank of Baroda"
"bobcard-etihad-guest","Etihad Guest Credit Card","Bank of Baroda"
"bobcard-etihad-guest-premium","Etihad Guest Premium Credit Card","Bank of Baroda"
"bobcard-hpcl-energie","HPCL ENERGIE Credit Card","Bank of Baroda"
"bobcard-irctc","IRCTC Credit Card","Bank of Baroda"
"bobcard-premier","PREMIER Credit Card","Bank of Baroda"
"scapia-bobcard","Scapia Credit Card","Bank of Baroda"
"bobcard-select","SELECT Credit Card","Bank of Baroda"
"bobcard-snapdeal","Snapdeal Credit Card","Bank of Baroda"
"cub-salaryse-level-up","CUB SalarySe Level UP Credit Card","City Union Bank"
"csb-jupiter-edge-plus","Jupiter Edge+ Credit Card","CSB Bank"
"equitas-powermiles","PowerMiles Credit Card","Equitas Small Finance Bank"
"equitas-selfe","Selfe Credit Card","Equitas Small Finance Bank"
"equitas-tiga","Tiga Credit Card","Equitas Small Finance Bank"
"federal-celesta","Celesta Credit Card","Federal Bank"
"federal-imperio","Imperio Credit Card","Federal Bank"
"scapia-federal","Scapia Credit Card","Federal Bank"
"federal-signet","Signet Credit Card","Federal Bank"
"federal-wave","Wave RuPay Credit Card","Federal Bank"
"hdfc-diners-club-black-metal","Diners Club Black Metal Edition Credit Card","HDFC Bank"
"hdfc-diners-club-privilege","Diners Club Privilege Credit Card","HDFC Bank"
"hdfc-freedom","Freedom Credit Card","HDFC Bank"
"hdfc-indianoil","IndianOil Credit Card","HDFC Bank"
"hdfc-infinia-metal","Infinia Metal Edition Credit Card","HDFC Bank"
"hdfc-irctc","IRCTC Credit Card","HDFC Bank"
"hdfc-marriott-bonvoy","Marriott Bonvoy Credit Card","HDFC Bank"
"hdfc-millennia","Millennia Credit Card","HDFC Bank"
"hdfc-moneyback-plus","MoneyBack+ Credit Card","HDFC Bank"
"hdfc-phonepe-ultimo","PhonePe Ultimo Credit Card","HDFC Bank"
"hdfc-phonepe-uno","PhonePe Uno Credit Card","HDFC Bank"
"hdfc-pixel-go","PIXEL Go Credit Card","HDFC Bank"
"hdfc-pixel-play","PIXEL Play Credit Card","HDFC Bank"
"hdfc-regalia-gold","Regalia Gold Credit Card","HDFC Bank"
"hdfc-shoppers-stop-black","Shoppers Stop BLACK Credit Card","HDFC Bank"
"hdfc-shoppers-stop","Shoppers Stop Credit Card","HDFC Bank"
"hdfc-swiggy-black","Swiggy BLCK Credit Card","HDFC Bank"
"hdfc-swiggy-orange","Swiggy Orange Credit Card","HDFC Bank"
"hdfc-tata-neu-infinity","Tata Neu Infinity Credit Card","HDFC Bank"
"hdfc-tata-neu-plus","Tata Neu Plus Credit Card","HDFC Bank"
"hsbc-live-plus","Live+ Credit Card","HSBC Bank"
"hsbc-premier","Premier Credit Card","HSBC Bank"
"hsbc-rupay-cashback","RuPay Cashback Credit Card","HSBC Bank"
"hsbc-rupay-platinum","RuPay Platinum Credit Card","HSBC Bank"
"hsbc-taj","Taj Credit Card","HSBC Bank"
"hsbc-travelone","TravelOne Credit Card","HSBC Bank"
"hsbc-visa-platinum","Visa Platinum Credit Card","HSBC Bank"
"icici-adani-one-platinum","Adani One Platinum Credit Card","ICICI Bank"
"icici-adani-one-signature","Adani One Signature Credit Card","ICICI Bank"
"icici-amazon-pay","Amazon Pay Credit Card","ICICI Bank"
"icici-coral","Coral Credit Card","ICICI Bank"
"icici-coral-rupay","Coral RuPay Credit Card","ICICI Bank"
"icici-emeralde","Emeralde Credit Card","ICICI Bank"
"icici-emeralde-private-metal","Emeralde Private Metal Credit Card","ICICI Bank"
"icici-hpcl-coral","HPCL Coral Credit Card","ICICI Bank"
"icici-hpcl-super-saver","HPCL Super Saver Credit Card","ICICI Bank"
"icici-makemytrip","MakeMyTrip Credit Card","ICICI Bank"
"icici-platinum-chip","Platinum Chip Credit Card","ICICI Bank"
"icici-rubyx","Rubyx Credit Card","ICICI Bank"
"icici-sapphiro","Sapphiro Credit Card","ICICI Bank"
"icici-sapphiro-rupay","Sapphiro RuPay Credit Card","ICICI Bank"
"icici-times-black","Times Black Credit Card","ICICI Bank"
"idfc-ashva","Ashva Credit Card","IDFC FIRST Bank"
"idfc-first-classic","Classic Credit Card","IDFC FIRST Bank"
"idfc-first-earn","EA₹N Credit Card","IDFC FIRST Bank"
"idfc-indigo","IndiGo Credit Card","IDFC FIRST Bank"
"idfc-mayura","Mayura Credit Card","IDFC FIRST Bank"
"idfc-first-millennia","Millennia Credit Card","IDFC FIRST Bank"
"idfc-first-power","Power Credit Card","IDFC FIRST Bank"
"idfc-first-power-plus","Power+ Credit Card","IDFC FIRST Bank"
"idfc-first-select","Select Credit Card","IDFC FIRST Bank"
"idfc-first-wealth","Wealth Credit Card","IDFC FIRST Bank"
"idfc-wow","WOW! Credit Card","IDFC FIRST Bank"
"indusind-celesta","Celesta Credit Card","IndusInd Bank"
"indusind-crest","Crest Credit Card","IndusInd Bank"
"indusind-eazydiner","EazyDiner Credit Card","IndusInd Bank"
"indusind-eazydiner-platinum","EazyDiner Platinum Credit Card","IndusInd Bank"
"indusind-indulge","Indulge Credit Card","IndusInd Bank"
"indusind-legend","Legend Credit Card","IndusInd Bank"
"indusind-nexxt","Nexxt Credit Card","IndusInd Bank"
"indusind-pinnacle","Pinnacle Credit Card","IndusInd Bank"
"indusind-pioneer-heritage-metal","PIONEER Heritage Metal Credit Card","IndusInd Bank"
"indusind-pioneer-legacy","PIONEER Legacy Credit Card","IndusInd Bank"
"indusind-aura-edge","Platinum Aura Edge Credit Card","IndusInd Bank"
"indusind-platinum-rupay","Platinum RuPay Credit Card","IndusInd Bank"
"indusind-tiger","Tiger Credit Card","IndusInd Bank"
"kotak-811","811 Credit Card","Kotak Mahindra Bank"
"kotak-811-dream-different","811 Dream Different Credit Card","Kotak Mahindra Bank"
"kotak-cashback-plus","Cashback+ Credit Card","Kotak Mahindra Bank"
"kotak-indianoil","IndianOil Credit Card","Kotak Mahindra Bank"
"kotak-infinite","Infinite Credit Card","Kotak Mahindra Bank"
"kotak-league-platinum","League Platinum Credit Card","Kotak Mahindra Bank"
"kotak-pvr-inox","PVR INOX Credit Card","Kotak Mahindra Bank"
"kotak-solitaire","Solitaire Credit Card","Kotak Mahindra Bank"
"kotak-upi-rupay","UPI RuPay Credit Card","Kotak Mahindra Bank"
"kotak-white","White Credit Card","Kotak Mahindra Bank"
"kotak-white-reserve","White Reserve Credit Card","Kotak Mahindra Bank"
"kotak-zen-signature","Zen Signature Credit Card","Kotak Mahindra Bank"
"onecard","One Credit Card","OneCard Partner Banks"
"rbl-cookies","Cookies Credit Card","RBL Bank"
"rbl-icon","Icon Credit Card","RBL Bank"
"rbl-patanjali-swarn","Patanjali Swarn Credit Card","RBL Bank"
"rbl-patanjali-vishisht","Patanjali Vishisht Credit Card","RBL Bank"
"rbl-platinum-delight","Platinum Delight Credit Card","RBL Bank"
"rbl-platinum-maxima-plus","Platinum Maxima Plus Credit Card","RBL Bank"
"rbl-play","PLAY Credit Card","RBL Bank"
"rbl-shoprite","ShopRite Credit Card","RBL Bank"
"rbl-world-max","World Max Credit Card","RBL Bank"
"rbl-world-prime","World Prime Credit Card","RBL Bank"
"rbl-world-safari","World Safari Credit Card","RBL Bank"
"apollo-sbi-select","Apollo SELECT Credit Card","SBI Card"
"aurum-sbi","AURUM Credit Card","SBI Card"
"bpcl-sbi","BPCL Credit Card","SBI Card"
"bpcl-sbi-octane","BPCL OCTANE Credit Card","SBI Card"
"sbi-cashback","Cashback Credit Card","SBI Card"
"doctors-sbi","Doctor's Credit Card","SBI Card"
"sbi-card-elite","ELITE Credit Card","SBI Card"
"flipkart-sbi","Flipkart Credit Card","SBI Card"
"indigo-sbi","IndiGo Credit Card","SBI Card"
"indigo-sbi-elite","IndiGo ELITE Credit Card","SBI Card"
"irctc-rupay-sbi","IRCTC on RuPay Credit Card","SBI Card"
"irctc-sbi-platinum","IRCTC Platinum Credit Card","SBI Card"
"krisflyer-sbi-apex","KrisFlyer Apex Credit Card","SBI Card"
"krisflyer-sbi","KrisFlyer Credit Card","SBI Card"
"landmark-rewards-sbi","Landmark Rewards Credit Card","SBI Card"
